source,target,weight,Type
侯亮平,沙瑞金,21,undirected
侯亮平,李达康,18,undirected
侯亮平,陆亦可,47,undirected
侯亮平,高育良,59,undirected
侯亮平,祁同伟,44,undirected
侯亮平,高小琴,35,undirected
侯亮平,高小凤,1,undirected
侯亮平,季昌明,37,undirected
侯亮平,赵东来,22,undirected
侯亮平,赵瑞龙,18,undirected
侯亮平,钟小艾,23,undirected
侯亮平,吴惠芬,12,undirected
侯亮平,丁义珍,32,undirected
侯亮平,田国富,8,undirected
侯亮平,陈岩石,18,undirected
侯亮平,王馥真,1,undirected
侯亮平,刘新建,27,undirected
侯亮平,蔡成功,40,undirected
侯亮平,程度,3,undirected
侯亮平,陈海,46,undirected
侯亮平,肖钢玉,12,undirected
侯亮平,陈清泉,2,undirected
侯亮平,郑西坡,2,undirected
侯亮平,赵德汉,20,undirected
侯亮平,欧阳菁,16,undirected
侯亮平,梁璐,4,undirected
侯亮平,林华华,14,undirected
侯亮平,周正,3,undirected
侯亮平,张宝宝,1,undirected
侯亮平,吴心仪,3,undirected
侯亮平,陈群芳,4,undirected
侯亮平,吕梁,14,undirected
侯亮平,王经理,3,undirected
侯亮平,秦思远,4,undirected
侯亮平,侯浩然,8,undirected
侯亮平,小皮球,12,undirected
侯亮平,魏彩霞,3,undirected
侯亮平,尤瑞星,7,undirected
侯亮平,陈文强,1,undirected
侯亮平,花斑虎,1,undirected
侯亮平,杜伯仲,2,undirected
侯亮平,丁秀萍,1,undirected
侯亮平,司机小钱,2,undirected
侯亮平,赵德汉妻,2,undirected
李达康,沙瑞金,35,undirected
李达康,陆亦可,3,undirected
李达康,高育良,29,undirected
李达康,祁同伟,21,undirected
李达康,高小琴,12,undirected
李达康,季昌明,7,undirected
李达康,赵东来,14,undirected
李达康,赵瑞龙,8,undirected
李达康,易学习,12,undirected
李达康,吴惠芬,2,undirected
李达康,孙连城,15,undirected
李达康,丁义珍,11,undirected
李达康,田国富,2,undirected
李达康,陈岩石,22,undirected
李达康,刘新建,2,undirected
李达康,蔡成功,13,undirected
李达康,程度,5,undirected
李达康,陈清泉,6,undirected
李达康,郑西坡,7,undirected
李达康,欧阳菁,31,undirected
李达康,王大路,11,undirected
李达康,孙海平,1,undirected
李达康,毛娅,2,undirected
李达康,张树立,2,undirected
李达康,钱秘书长,1,undirected
李达康,交警,1,undirected
祁同伟,沙瑞金,17,undirected
祁同伟,陆亦可,4,undirected
祁同伟,高育良,34,undirected
祁同伟,高小琴,28,undirected
祁同伟,季昌明,3,undirected
祁同伟,赵东来,13,undirected
祁同伟,赵瑞龙,17,undirected
祁同伟,钟小艾,5,undirected
祁同伟,易学习,1,undirected
祁同伟,吴惠芬,5,undirected
祁同伟,丁义珍,15,undirected
祁同伟,田国富,7,undirected
祁同伟,陈岩石,7,undirected
祁同伟,刘新建,11,undirected
祁同伟,蔡成功,5,undirected
祁同伟,程度,7,undirected
祁同伟,陈海,4,undirected
祁同伟,肖钢玉,3,undirected
祁同伟,陈清泉,3,undirected
祁同伟,欧阳菁,1,undirected
祁同伟,梁璐,16,undirected
祁同伟,王文革,1,undirected
祁同伟,吴春林,2,undirected
祁同伟,常成虎,1,undirected
祁同伟,毕敬业,2,undirected
祁同伟,尤瑞星,1,undirected
祁同伟,花斑虎,1,undirected
祁同伟,蔡英俊,1,undirected
祁同伟,杜伯仲,2,undirected
祁同伟,钱秘书长,1,undirected
高育良,沙瑞金,22,undirected
高育良,陆亦可,6,undirected
高育良,高小琴,12,undirected
高育良,季昌明,14,undirected
高育良,赵东来,1,undirected
高育良,赵瑞龙,20,undirected
高育良,钟小艾,5,undirected
高育良,易学习,2,undirected
高育良,吴惠芬,19,undirected
高育良,孙连城,2,undirected
高育良,丁义珍,16,undirected
高育良,田国富,8,undirected
高育良,陈岩石,5,undirected
高育良,王馥真,1,undirected
高育良,刘新建,5,undirected
高育良,蔡成功,5,undirected
高育良,程度,1,undirected
高育良,陈海,8,undirected
高育良,肖钢玉,6,undirected
高育良,陈清泉,4,undirected
高育良,郑西坡,1,undirected
高育良,欧阳菁,1,undirected
高育良,梁璐,1,undirected
高育良,张宝宝,1,undirected
高育良,吕梁,1,undirected
高育良,张树立,2,undirected
高育良,吴春林,1,undirected
高育良,魏彩霞,2,undirected
高育良,杜伯仲,6,undirected
高育良,钱秘书长,3,undirected
蔡成功,沙瑞金,3,undirected
蔡成功,陆亦可,17,undirected
蔡成功,高小琴,12,undirected
蔡成功,季昌明,10,undirected
蔡成功,赵东来,15,undirected
蔡成功,赵瑞龙,1,undirected
蔡成功,丁义珍,8,undirected
蔡成功,陈岩石,3,undirected
蔡成功,刘新建,3,undirected
蔡成功,程度,1,undirected
蔡成功,陈海,7,undirected
蔡成功,肖钢玉,1,undirected
蔡成功,郑西坡,23,undirected
蔡成功,欧阳菁,20,undirected
蔡成功,林华华,4,undirected
蔡成功,周正,3,undirected
蔡成功,郑胜利,2,undirected
蔡成功,王文革,2,undirected
蔡成功,陈群芳,3,undirected
蔡成功,吕梁,2,undirected
蔡成功,常成虎,1,undirected
蔡成功,汤成兰,1,undirected
蔡成功,尤瑞星,5,undirected
蔡成功,陈文强,1,undirected
蔡成功,司机小钱,2,undirected
沙瑞金,陆亦可,1,undirected
沙瑞金,高小琴,6,undirected
沙瑞金,季昌明,11,undirected
沙瑞金,赵东来,3,undirected
沙瑞金,赵瑞龙,13,undirected
沙瑞金,钟小艾,1,undirected
沙瑞金,易学习,16,undirected
沙瑞金,孙连城,3,undirected
沙瑞金,丁义珍,6,undirected
沙瑞金,田国富,17,undirected
沙瑞金,陈岩石,20,undirected
沙瑞金,刘新建,1,undirected
沙瑞金,陈海,4,undirected
沙瑞金,郑西坡,2,undirected
沙瑞金,欧阳菁,3,undirected
沙瑞金,梁璐,1,undirected
沙瑞金,王大路,1,undirected
沙瑞金,王文革,2,undirected
沙瑞金,毛娅,3,undirected
沙瑞金,张树立,2,undirected
沙瑞金,吴春林,2,undirected
沙瑞金,汤成兰,1,undirected
沙瑞金,尤瑞星,1,undirected
丁义珍,陆亦可,14,undirected
丁义珍,高小琴,9,undirected
丁义珍,季昌明,7,undirected
丁义珍,赵东来,6,undirected
丁义珍,赵瑞龙,3,undirected
丁义珍,易学习,1,undirected
丁义珍,孙连城,2,undirected
丁义珍,陈岩石,2,undirected
丁义珍,刘新建,3,undirected
丁义珍,程度,1,undirected
丁义珍,陈海,21,undirected
丁义珍,赵德汉,11,undirected
丁义珍,欧阳菁,4,undirected
丁义珍,梁璐,1,undirected
丁义珍,林华华,10,undirected
丁义珍,周正,14,undirected
丁义珍,王大路,1,undirected
丁义珍,王文革,1,undirected
丁义珍,陈群芳,1,undirected
丁义珍,张树立,2,undirected
丁义珍,小皮球,2,undirected
丁义珍,毕敬业,2,undirected
丁义珍,何阿三,3,undirected
丁义珍,魏彩霞,2,undirected
丁义珍,陈文强,1,undirected
丁义珍,花斑虎,3,undirected
陆亦可,高小琴,14,undirected
陆亦可,季昌明,14,undirected
陆亦可,赵东来,19,undirected
陆亦可,赵瑞龙,3,undirected
陆亦可,吴惠芬,1,undirected
陆亦可,田国富,1,undirected
陆亦可,陈岩石,5,undirected
陆亦可,刘新建,6,undirected
陆亦可,程度,2,undirected
陆亦可,陈海,24,undirected
陆亦可,肖钢玉,1,undirected
陆亦可,陈清泉,2,undirected
陆亦可,郑西坡,2,undirected
陆亦可,欧阳菁,7,undirected
陆亦可,林华华,17,undirected
陆亦可,周正,10,undirected
陆亦可,张宝宝,1,undirected
陆亦可,吴心仪,3,undirected
陆亦可,陈群芳,3,undirected
陆亦可,小皮球,3,undirected
陆亦可,魏彩霞,2,undirected
陆亦可,尤瑞星,5,undirected
陆亦可,司机小钱,1,undirected
高小琴,高小凤,1,undirected
高小琴,季昌明,1,undirected
高小琴,赵东来,6,undirected
高小琴,赵瑞龙,13,undirected
高小琴,钟小艾,2,undirected
高小琴,吴惠芬,1,undirected
高小琴,孙连城,2,undirected
高小琴,田国富,2,undirected
高小琴,陈岩石,2,undirected
高小琴,刘新建,3,undirected
高小琴,程度,6,undirected
高小琴,陈海,1,undirected
高小琴,肖钢玉,1,undirected
高小琴,陈清泉,3,undirected
高小琴,郑西坡,2,undirected
高小琴,欧阳菁,4,undirected
高小琴,梁璐,1,undirected
高小琴,林华华,1,undirected
高小琴,王文革,2,undirected
高小琴,陈群芳,1,undirected
高小琴,王经理,2,undirected
高小琴,魏彩霞,2,undirected
高小琴,蔡英俊,2,undirected
高小琴,秦奔,1,undirected
高小琴,杜伯仲,4,undirected
高小琴,钱队长,1,undirected
高小琴,钱律师,1,undirected
陈岩石,季昌明,4,undirected
陈岩石,赵东来,5,undirected
陈岩石,赵瑞龙,1,undirected
陈岩石,钟小艾,1,undirected
陈岩石,孙连城,2,undirected
陈岩石,田国富,1,undirected
陈岩石,王馥真,1,undirected
陈岩石,刘新建,1,undirected
陈岩石,程度,2,undirected
陈岩石,陈海,6,undirected
陈岩石,肖钢玉,2,undirected
陈岩石,陈清泉,1,undirected
陈岩石,郑西坡,13,undirected
陈岩石,梁璐,1,undirected
陈岩石,张宝宝,1,undirected
陈岩石,王文革,3,undirected
陈岩石,吕梁,3,undirected
陈岩石,秦思远,1,undirected
陈岩石,魏彩霞,1,undirected
陈岩石,尤瑞星,6,undirected
陈岩石,花斑虎,1,undirected
陈岩石,蔡英俊,1,undirected
陈岩石,钱律师,1,undirected
陈岩石,司机小钱,1,undirected
陈岩石,交警,1,undirected
赵东来,季昌明,2,undirected
赵东来,赵瑞龙,1,undirected
赵东来,刘新建,2,undirected
赵东来,程度,5,undirected
赵东来,陈海,10,undirected
赵东来,肖钢玉,1,undirected
赵东来,陈清泉,4,undirected
赵东来,郑西坡,4,undirected
赵东来,欧阳菁,4,undirected
赵东来,林华华,2,undirected
赵东来,周正,1,undirected
赵东来,张宝宝,1,undirected
赵东来,王经理,2,undirected
赵东来,魏彩霞,2,undirected
赵东来,花斑虎,3,undirected
赵东来,钱队长,1,undirected
赵东来,交警,1,undirected
陈海,季昌明,5,undirected
陈海,钟小艾,3,undirected
陈海,王馥真,1,undirected
陈海,陈清泉,1,undirected
陈海,赵德汉,6,undirected
陈海,欧阳菁,1,undirected
陈海,梁璐,2,undirected
陈海,林华华,9,undirected
陈海,周正,2,undirected
陈海,秦思远,3,undirected
陈海,小皮球,3,undirected
陈海,尤瑞星,1,undirected
陈海,陈文强,1,undirected
赵瑞龙,季昌明,2,undirected
赵瑞龙,易学习,3,undirected
赵瑞龙,吴惠芬,3,undirected
赵瑞龙,田国富,5,undirected
赵瑞龙,刘新建,19,undirected
赵瑞龙,程度,4,undirected
赵瑞龙,肖钢玉,2,undirected
赵瑞龙,陈清泉,1,undirected
赵瑞龙,欧阳菁,1,undirected
赵瑞龙,林华华,2,undirected
赵瑞龙,王文革,2,undirected
赵瑞龙,刘生,3,undirected
赵瑞龙,花斑虎,2,undirected
赵瑞龙,蔡英俊,1,undirected
赵瑞龙,杜伯仲,10,undirected
郑西坡,孙连城,1,undirected
郑西坡,程度,7,undirected
郑西坡,郑胜利,13,undirected
郑西坡,张宝宝,4,undirected
郑西坡,王文革,3,undirected
郑西坡,常成虎,1,undirected
郑西坡,汤成兰,1,undirected
郑西坡,魏彩霞,1,undirected
郑西坡,尤瑞星,3,undirected
郑西坡,雷警官,1,undirected
郑西坡,交警,1,undirected
欧阳菁,季昌明,5,undirected
欧阳菁,易学习,2,undirected
欧阳菁,孙连城,1,undirected
欧阳菁,田国富,1,undirected
欧阳菁,刘新建,3,undirected
欧阳菁,林华华,7,undirected
欧阳菁,周正,1,undirected
欧阳菁,王大路,12,undirected
欧阳菁,陈群芳,2,undirected
欧阳菁,毛娅,2,undirected
刘新建,季昌明,3,undirected
刘新建,吴惠芬,1,undirected
刘新建,程度,2,undirected
刘新建,肖钢玉,1,undirected
刘新建,陈清泉,1,undirected
刘新建,花斑虎,1,undirected
季昌明,钟小艾,3,undirected
季昌明,孙连城,2,undirected
季昌明,田国富,1,undirected
季昌明,肖钢玉,5,undirected
季昌明,林华华,1,undirected
季昌明,周正,1,undirected
季昌明,吴心仪,3,undirected
季昌明,陈群芳,2,undirected
季昌明,吕梁,3,undirected
季昌明,张树立,2,undirected
季昌明,尤瑞星,1,undirected
季昌明,花斑虎,1,undirected
季昌明,司机小钱,1,undirected
林华华,程度,1,undirected
林华华,周正,11,undirected
林华华,陈群芳,2,undirected
林华华,吕梁,1,undirected
林华华,尤瑞星,1,undirected
林华华,雷警官,1,undirected
易学习,吴惠芬,1,undirected
易学习,田国富,8,undirected
易学习,王大路,3,undirected
易学习,毛娅,5,undirected
易学习,吴春林,1,undirected
易学习,钱秘书长,3,undirected
赵德汉,小皮球,2,undirected
赵德汉,赵德汉妻,2,undirected
程度,孙连城,1,undirected
程度,王经理,3,undirected
程度,常成虎,2,undirected
程度,尤瑞星,1,undirected
程度,杜伯仲,1,undirected
程度,雷警官,1,undirected
程度,钱队长,1,undirected
程度,交警,1,undirected
陈清泉,王馥真,1,undirected
陈清泉,肖钢玉,1,undirected
陈清泉,孙海平,3,undirected
陈清泉,张树立,1,undirected
陈清泉,秦奔,1,undirected
陈清泉,钱队长,2,undirected
吴惠芬,钟小艾,2,undirected
吴惠芬,梁璐,2,undirected
田国富,吕梁,3,undirected
田国富,吴春林,2,undirected
田国富,尤瑞星,1,undirected
田国富,杜伯仲,2,undirected
田国富,丁秀萍,1,undirected
钟小艾,梁璐,2,undirected
钟小艾,秦思远,1,undirected
钟小艾,侯浩然,5,undirected
周正,尤瑞星,1,undirected
王大路,毛娅,2,undirected
吕梁,肖钢玉,6,undirected
吕梁,尤瑞星,1,undirected
吕梁,丁秀萍,2,undirected
孙连城,张树立,2,undirected
小皮球,侯浩然,1,undirected
郑胜利,张宝宝,2,undirected
尤瑞星,张宝宝,1,undirected
尤瑞星,陈群芳,1,undirected
尤瑞星,司机小钱,1,undirected
尤瑞星,交警,1,undirected
杜伯仲,刘生,3,undirected
王文革,汤成兰,1,undirected
王文革,花斑虎,1,undirected
王文革,蔡英俊,2,undirected
王文革,钱律师,1,undirected
张宝宝,魏彩霞,1,undirected
张宝宝,交警,1,undirected
陈群芳,司机小钱,1,undirected
花斑虎,钱队长,2,undirected
孙海平,张树立,1,undirected
蔡英俊,钱律师,1,undirected
